old_name,new_name,data_type,source_file
TAXDISTRIC,tax_district,string,d_real.txt
PARCEL_NO,parcel_id,int,d_real.txt
HOUSE_NO;EXTENSION;STDIRECT,site_addr,string,d_real.txt
FIRSTNAME;LASTNAME,owner_name_1,string,d_owner.txt
CITY,site_city,string,d_owner.txt
ZIP,owner_zip,string,d_owner.txt
ACT_EXEMPT,excempt_val,string,d_calcexemptions.txt
YEAR_BUILT,year_built,int,d_accsry.txt
SALEDATE,sale_date,string,d_sales.txt
SALEPRICE,sale_price,float,d_sales.txt
SALECLASS,sale_class_sale,string,d_sales.txt
GRANTOR,seller_name,string,d_sales.txt
GRANTEE,buyer_name,string,d_sales.txt
CURRHOMVAL,current_assess,float,d_real.txt
ORIGHOMVAL,notice_assess,float,d_real.txt
APPEAL_YR,tax_year,int,d_appls.txt
TOTAL_ACRES,building_area,float,d_real.txt
